Sequence 'H14-bin047_1_Hain_H14_02um_R2_4710_length_4150_cov_7' (4150 bp)
Sequence 'H14-bin049_1_Hain_H14_02um_R2_9171_length_3028_cov_3' (3028 bp)
Sequence 'H14-bin054_1_Hain_H14_02um_R3_3961_length_4580_cov_7' (4580 bp)
Sequence 'H14R102um_2022_000000000669' (32277 bp)
Sequence 'H14R102um_2022HA_000000002620' (20961 bp)
Sequence 'H14R102um_2022HA_000000000033' (269218 bp)
Sequence 'H14R102um_2022HA_000000037848' (3823 bp)
Sequence 'H14R202um_2022_000000000656' (31868 bp)
Sequence 'H14R202um_2022_000000001621' (16682 bp)
Sequence 'H14R202um_2022HA_000000000213' (100801 bp)
Sequence 'H14R202um_2022HA_000000012595' (8375 bp)
Sequence 'H14R301um_2022_000000001539' (17991 bp)
Sequence 'H14R302um_2022_000000000073' (97465 bp)
Sequence 'H14R302um_2022_000000000216' (53273 bp)
Sequence 'H14R302um_2022_000000000811' (22878 bp)
Sequence 'H14R302um_2022_000000000719' (24583 bp)
Sequence 'H14R302um_2022_000000004488' (6786 bp)
Sequence 'H14R302um_2022HA_000000012018' (8262 bp)
Sequence 'H14R302um_2022HA_000000000056' (178000 bp)
Sequence 'H14R302um_2022HA_000000000305' (72365 bp)
Sequence 'H14R302um_2022HA_000000000659' (45132 bp)
Sequence 'H14R302um_2022HA_000000003279' (17824 bp)
Sequence 'H14R302um_2022HA_000000006541' (12121 bp)
Sequence 'H14R302um_2022HA_000000008956' (9958 bp)
Sequence 'H32-bin001_1_Hain_H32_02um_R1_432_length_39286_cov_6' (39286 bp)
Sequence 'H32-bin001_1_Hain_H32_02um_R1_117_length_73512_cov_6' (73512 bp)
Sequence 'H32-bin001_1_Hain_H32_02um_R1_87_length_87435_cov_6' (87435 bp)
Sequence 'H32-bin008_1_Hain_H32_02um_R1_2988_length_11470_cov_6' (11470 bp)
Sequence 'H32-bin008_1_Hain_H32_02um_R1_188_length_60702_cov_7' (60702 bp)
Sequence 'H32-bin008_1_Hain_H32_02um_R1_535_length_34344_cov_8' (34344 bp)
Sequence 'H32-bin021_1_Hain_H32_02um_R1_3070_length_11256_cov_6' (11256 bp)
Sequence 'H32-bin065_1_Hain_H32_02um_R1_136220_length_1346_cov_4' (1346 bp)
Sequence 'H32-bin065_1_Hain_H32_02um_R1_4783_length_8438_cov_6' (8438 bp)
Sequence 'H32-bin066_1_Hain_PNK108_H32_02um_12118_length_5418_cov_6' (5418 bp)
Sequence 'H32-bin107_1_Hain_PNK108_H32_02um_12346_length_5351_cov_5' (5351 bp)
Sequence 'H32-bin138_1_Hain_PNK108_H32_02um_16228_length_4504_cov_5' (4504 bp)
Sequence 'H32-bin138_1_Hain_PNK108_H32_02um_30635_length_3088_cov_4' (3088 bp)
Sequence 'H32-bin141_1_Hain_PNK108_H32_02um_5690_length_8829_cov_4' (8829 bp)
Sequence 'H32-bin143_1_Hain_PNK108_H32_02um_21_length_123231_cov_7' (123231 bp)
Sequence 'H32-bin143_1_Hain_PNK108_H32_02um_2199_length_15845_cov_7' (15845 bp)
Sequence 'H32R101um_2022_000000002849' (12848 bp)
Sequence 'H32R102um_2022HA_000000044797' (3265 bp)
Sequence 'H32R102um_2022HA_000000000572' (32666 bp)
Sequence 'H32R102um_2022HA_000000001825' (19231 bp)
Sequence 'H32R102um_2022HA_000000082556' (2129 bp)
Sequence 'H32R201um_2022_000000002590' (11629 bp)
Sequence 'H32R201um_2022_000000018849' (3026 bp)
Sequence 'H32R201um_2022_000000097840' (1171 bp)
Sequence 'H32R202um_2022_000000000007' (118095 bp)
Sequence 'H32R202um_2022HA_000000070568' (2403 bp)
Sequence 'H32R202um_2022HA_000000010905' (7753 bp)
Sequence 'H32R202um_2022HA_000000000799' (27958 bp)
Sequence 'H32R302um_2022HA_000000138699' (1532 bp)
Sequence 'H32R302um_2022HA_000000003400' (14453 bp)
Sequence 'H32R302um_2022HA_000000000016' (146460 bp)
Sequence 'H32R302um_2022HA_000000000230' (49005 bp)
Sequence 'H32R302um_2022HA_000000000442' (37571 bp)
Sequence 'H32R302um_2022HA_000000199573' (1183 bp)
Sequence 'H41-bin158_1_Hain_H41_02um_R1_1852_length_22304_cov_6' (22304 bp)
Sequence 'H41-bin158_1_Hain_H41_02um_R1_4789_length_12430_cov_6' (12430 bp)
Sequence 'H41-bin165_1_Hain_H41_02um_R1_5613_length_11258_cov_4' (11258 bp)
Sequence 'H41-bin165_1_Hain_H41_02um_R1_6026_length_10737_cov_5' (10737 bp)
Sequence 'H41-bin165_1_Hain_H41_02um_R1_7625_length_9130_cov_5' (9130 bp)
Sequence 'H41-bin222_1_Hain_H41_02um_R2_41786_length_2772_cov_4' (2772 bp)
Sequence 'H41-bin234_1_Hain_H41_02um_R2_4052_length_12660_cov_6' (12660 bp)
Sequence 'H41-bin234_1_Hain_H41_02um_R2_6025_length_9984_cov_6' (9984 bp)
Sequence 'H41-bin244_1_Hain_H41_02um_R2_12242_length_6319_cov_5' (6319 bp)
Sequence 'H41-bin246_1_Hain_H41_02um_R2_52857_length_2377_cov_3' (2377 bp)
Sequence 'H41-bin246_1_Hain_H41_02um_R2_199714_length_1070_cov_2' (1070 bp)
Sequence 'H41-bin280_1_Hain_H41_02um_R3_2396_length_17390_cov_16' (17390 bp)
Sequence 'H41-bin282_Hain_H41_02um_R3_48488_length_2215_cov_4' (2215 bp)
Sequence 'H41-bin282_Hain_H41_02um_R3_49447_length_2186_cov_3' (2186 bp)
Sequence 'H41R101um_2022_000000035005' (2332 bp)
Sequence 'H41R101um_2022_000000001679' (21230 bp)
Sequence 'H41R101um_2022_000000002530' (15486 bp)
Sequence 'H41R101um_2022_000000024110' (2959 bp)
Sequence 'H41R101um_2022_000000007333' (6765 bp)
Sequence 'H41R101um_2022_000000011725' (4810 bp)
Sequence 'H41R102um_2022_000000005666' (7838 bp)
Sequence 'H41R102um_2022_000000014001' (4309 bp)
Sequence 'H41R102um_2022_000000015520' (4050 bp)
Sequence 'H41R102um_2022_000000133958' (1145 bp)
Sequence 'H41R102um_2022_000000165848' (1019 bp)
Sequence 'H41R102um_2022HA_000000080848' (2257 bp)
Sequence 'H41R102um_2022HA_000000015155' (7849 bp)
Sequence 'H41R102um_2022HA_000000015632' (7689 bp)
Sequence 'H41R102um_2022HA_000000027929' (5128 bp)
Sequence 'H41R102um_2022HA_000000007218' (12634 bp)
Sequence 'H41R102um_2022HA_000000000171' (89178 bp)
Sequence 'H41R201um_2022_000000005588' (7546 bp)
Sequence 'H41R201um_2022_000000001643' (21350 bp)
Sequence 'H41R202um_2022_000000000227' (48876 bp)
Sequence 'H41R202um_2022HA_000000013935' (8347 bp)
Sequence 'H41R202um_2022HA_000000024453' (5629 bp)
Sequence 'H41R202um_2022HA_000000034563' (4366 bp)
Sequence 'H41R202um_2022HA_000000069242' (2499 bp)
Sequence 'H41R202um_2022HA_000000098231' (1861 bp)
Sequence 'H41R202um_2022HA_000000176016' (1096 bp)
Sequence 'H41R202um_2022HA_000000059402' (2837 bp)
Sequence 'H41R202um_2022HA_000000174627' (1104 bp)
Sequence 'H41R202um_2022HA_000000001109' (36268 bp)
Sequence 'H41R202um_2022HA_000000032448' (4570 bp)
Sequence 'H41R202um_2022HA_000000000255' (67680 bp)
Sequence 'H41R202um_2022HA_000000000788' (42021 bp)
Sequence 'H41R202um_2022HA_000000003938' (18464 bp)
